run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M1_N4_dephase_z_iid_p_p0.20000_twirl,1,4,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9069767441860463,0.1999999999999999,0.0930232558139532,0.6799999999999998,0.8312601406165496,0.4651162790697665,2,True,0.6,0.8139534883720932
M1_N4_dephase_z_iid_p_p0.30000_twirl,1,4,dephase_z,iid_p,0.3,0.3,0.7,0.8109777099837623,0.2999999999999998,0.1890222900162376,0.5800000000000001,0.69341427221349,0.6300743000541257,2,True,0.4000000000000001,0.6219554199675246
M1_N4_dephase_z_iid_p_p0.40000_twirl,1,4,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.671480144404332,0.3999999999999998,0.3285198555956677,0.52,0.5588108798498612,0.8212996389891697,2,True,0.2,0.3429602888086643
M1_N4_dephase_z_iid_p_p0.50000_twirl,1,4,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5,1.0,2,True,2.220446049250313e-16,3.885780586188048e-16
M1_N4_dephase_z_iid_p_p0.60000_twirl,1,4,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.3285198555956677,0.5999999999999999,0.671480144404332,0.52,0.5588108798498612,1.1191335740072204,2,True,0.2,0.3429602888086643
M1_N4_dephase_z_iid_p_p0.70000_twirl,1,4,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.1890222900162378,0.6999999999999998,0.8109777099837621,0.5800000000000002,0.6934142722134897,1.158539585691089,2,True,0.3999999999999999,0.6219554199675242
M1_N4_dephase_z_iid_p_p0.80000_twirl,1,4,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0930232558139533,0.7999999999999998,0.9069767441860466,0.6799999999999998,0.8312601406165496,1.1337209302325584,2,True,0.6,0.8139534883720932
M1_N4_dephase_z_iid_p_p0.90000_twirl,1,4,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0339756105367602,0.8999999999999999,0.9660243894632397,0.8199999999999998,0.9343574631491708,1.073360432736933,2,True,0.7999999999999999,0.9320487789264796
M1_N8_dephase_z_iid_p_p0.01000_twirl,1,8,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9987051897529816,0.0099999999999998,0.0012948102470181,0.9802,0.9974137325731148,0.1294810247018121,3,True,0.98,0.9974103795059636
M1_N8_dephase_z_iid_p_p0.10000_twirl,1,8,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9818389551479724,0.0999999999999999,0.0181610448520271,0.8199999999999998,0.96433755739618,0.181610448520272,3,True,0.7999999999999999,0.9636779102959454
M1_N8_dephase_z_iid_p_p0.20000_twirl,1,8,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9444772593030124,0.1999999999999999,0.0555227406969874,0.6799999999999998,0.8951200680750347,0.2776137034849372,3,True,0.6,0.8889545186060249
M1_N8_dephase_z_iid_p_p0.30000_twirl,1,8,dephase_z,iid_p,0.3,0.3,0.7,0.8672789524529967,0.2999999999999998,0.132721047547003,0.5800000000000001,0.7697876578299414,0.4424034918233437,3,True,0.4000000000000001,0.7345579049059937
M1_N8_dephase_z_iid_p_p0.40000_twirl,1,8,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.7200140461180875,0.3999999999999998,0.2799859538819121,0.52,0.5968123609785041,0.6999648847047806,3,True,0.2,0.4400280922361755
M1_N8_dephase_z_iid_p_p0.50000_twirl,1,8,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,3,True,2.220446049250313e-16,5.55111512312579e-16
M1_N8_dephase_z_iid_p_p0.60000_twirl,1,8,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.2799859538819121,0.5999999999999999,0.7200140461180877,0.52,0.5968123609785041,1.2000234101968132,3,True,0.2,0.4400280922361755
M1_N8_dephase_z_iid_p_p0.70000_twirl,1,8,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.1327210475470033,0.6999999999999998,0.8672789524529966,0.5800000000000002,0.7697876578299412,1.2389699320757095,3,True,0.3999999999999999,0.7345579049059934
M1_N8_dephase_z_iid_p_p0.80000_twirl,1,8,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0555227406969874,0.7999999999999998,0.9444772593030124,0.6799999999999998,0.8951200680750347,1.1805965741287658,3,True,0.6,0.8889545186060249
M1_N8_dephase_z_iid_p_p0.90000_twirl,1,8,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0181610448520272,0.8999999999999999,0.9818389551479726,0.8199999999999998,0.96433755739618,1.0909321723866363,3,True,0.7999999999999999,0.9636779102959454
M1_N16_dephase_z_iid_p_p0.01000_twirl,1,16,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9993509172589276,0.0099999999999998,0.0006490827410721,0.9802,0.9987026771346652,0.0649082741072122,4,True,0.98,0.9987018345178555
M1_N16_dephase_z_iid_p_p0.10000_twirl,1,16,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9905867154387378,0.0999999999999999,0.0094132845612618,0.8199999999999998,0.9813506507299388,0.0941328456126189,4,True,0.7999999999999999,0.981173430877476
M1_N16_dephase_z_iid_p_p0.20000_twirl,1,16,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9690755660188743,0.1999999999999999,0.0309244339811254,0.6799999999999998,0.9400637732718548,0.1546221699056272,4,True,0.6,0.9381511320377488
M1_N16_dephase_z_iid_p_p0.30000_twirl,1,16,dephase_z,iid_p,0.3,0.3,0.7,0.9150542589988934,0.2999999999999998,0.0849457410011063,0.5800000000000001,0.8445400758262412,0.2831524700036878,4,True,0.4000000000000001,0.8301085179977872
M1_N16_dephase_z_iid_p_p0.40000_twirl,1,16,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.7755665618510947,0.3999999999999998,0.2244334381489051,0.52,0.6518738600208666,0.561083595372263,4,True,0.2,0.5511331237021895
M1_N16_dephase_z_iid_p_p0.50000_twirl,1,16,dephase_z,iid_p,0.5,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5000000000000001,1.0,4,True,2.220446049250313e-16,7.77156117237611e-16
M1_N16_dephase_z_iid_p_p0.60000_twirl,1,16,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.2244334381489053,0.5999999999999999,0.7755665618510946,0.52,0.6518738600208666,1.2926109364184912,4,True,0.2,0.5511331237021895
M1_N16_dephase_z_iid_p_p0.70000_twirl,1,16,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0849457410011064,0.6999999999999998,0.9150542589988934,0.5800000000000002,0.844540075826241,1.3072203699984193,4,True,0.3999999999999999,0.830108517997787
M1_N16_dephase_z_iid_p_p0.80000_twirl,1,16,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0309244339811255,0.7999999999999998,0.9690755660188743,0.6799999999999998,0.9400637732718548,1.2113444575235932,4,True,0.6,0.9381511320377488
M1_N16_dephase_z_iid_p_p0.90000_twirl,1,16,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0094132845612621,0.8999999999999999,0.990586715438738,0.8199999999999998,0.9813506507299388,1.1006519060430422,4,True,0.7999999999999999,0.981173430877476
M1_N32_dephase_z_iid_p_p0.01000_twirl,1,32,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.999675037184416,0.0099999999999998,0.0003249628155839,0.9802,0.9993502855704952,0.0324962815583921,5,True,0.98,0.999350074368832
M1_N32_dephase_z_iid_p_p0.10000_twirl,1,32,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9952043347380264,0.0999999999999999,0.004795665261973,0.8199999999999998,0.9904546662866632,0.0479566526197306,5,True,0.7999999999999999,0.9904086694760535
M1_N32_dephase_z_iid_p_p0.20000_twirl,1,32,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9835671615348948,0.1999999999999999,0.0164328384651049,0.6799999999999998,0.9676743994298302,0.0821641923255248,5,True,0.6,0.96713432306979
M1_N32_dephase_z_iid_p_p0.30000_twirl,1,32,dephase_z,iid_p,0.3,0.3,0.7,0.9500355014655611,0.2999999999999998,0.0499644985344385,0.5800000000000001,0.9050639051587188,0.1665483284481285,5,True,0.4000000000000001,0.9000710029311227
M1_N32_dephase_z_iid_p_p0.40000_twirl,1,32,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.8336411677918478,0.3999999999999998,0.1663588322081519,0.52,0.7226328576910162,0.41589708052038,5,True,0.2,0.6672823355836959
M1_N32_dephase_z_iid_p_p0.50000_twirl,1,32,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,5,True,2.220446049250313e-16,9.992007221626409e-16
M1_N32_dephase_z_iid_p_p0.60000_twirl,1,32,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.1663588322081521,0.5999999999999999,0.8336411677918478,0.52,0.7226328576910162,1.389401946319747,5,True,0.2,0.6672823355836959
M1_N32_dephase_z_iid_p_p0.70000_twirl,1,32,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0499644985344386,0.6999999999999998,0.9500355014655611,0.5800000000000002,0.9050639051587184,1.3571935735222305,5,True,0.3999999999999999,0.9000710029311225
M1_N32_dephase_z_iid_p_p0.80000_twirl,1,32,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.016432838465105,0.7999999999999998,0.9835671615348948,0.6799999999999998,0.9676743994298302,1.2294589519186188,5,True,0.6,0.96713432306979
M1_N32_dephase_z_iid_p_p0.90000_twirl,1,32,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.004795665261973,0.8999999999999999,0.9952043347380268,0.8199999999999998,0.9904546662866632,1.1057825941533632,5,True,0.7999999999999999,0.9904086694760535
M1_N64_dephase_z_iid_p_p0.01000_twirl,1,64,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9998374129742238,0.0099999999999998,0.0001625870257759,0.9802,0.9996748788175298,0.0162587025775985,6,True,0.98,0.9996748259484478
M1_N64_dephase_z_iid_p_p0.10000_twirl,1,64,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9975791140843876,0.0999999999999999,0.0024208859156121,0.8199999999999998,0.9951699495460082,0.0242088591561212,6,True,0.7999999999999999,0.9951582281687756
M1_N64_dephase_z_iid_p_p0.20000_twirl,1,64,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9915113615088118,0.1999999999999999,0.0084886384911878,0.6799999999999998,0.983166836984492,0.0424431924559393,6,True,0.6,0.983022723017624
M1_N64_dephase_z_iid_p_p0.30000_twirl,1,64,dephase_z,iid_p,0.3,0.3,0.7,0.97246236753204,0.2999999999999998,0.0275376324679595,0.5800000000000001,0.9464413774679612,0.091792108226532,6,True,0.4000000000000001,0.9449247350640806
M1_N64_dephase_z_iid_p_p0.40000_twirl,1,64,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.8873618993185282,0.3999999999999998,0.1126381006814716,0.52,0.8000984820873153,0.2815952517036791,6,True,0.2,0.7747237986370565
M1_N64_dephase_z_iid_p_p0.50000_twirl,1,64,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5,1.0,6,True,2.220446049250313e-16,1.27675647831893e-15
M1_N64_dephase_z_iid_p_p0.60000_twirl,1,64,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.1126381006814717,0.5999999999999999,0.8873618993185282,0.52,0.8000984820873153,1.478936498864214,6,True,0.2,0.7747237986370565
M1_N64_dephase_z_iid_p_p0.70000_twirl,1,64,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0275376324679596,0.6999999999999998,0.9724623675320404,0.5800000000000002,0.9464413774679614,1.3892319536172006,6,True,0.3999999999999999,0.9449247350640808
M1_N64_dephase_z_iid_p_p0.80000_twirl,1,64,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0084886384911879,0.7999999999999998,0.991511361508812,0.6799999999999998,0.983166836984492,1.239389201886015,6,True,0.6,0.983022723017624
M1_N64_dephase_z_iid_p_p0.90000_twirl,1,64,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0024208859156121,0.8999999999999999,0.9975791140843876,0.8199999999999998,0.9951699495460082,1.108421237871542,6,True,0.7999999999999999,0.9951582281687756
M1_N128_dephase_z_iid_p_p0.01000_twirl,1,128,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9999186800504224,0.0099999999999998,8.131994957749633e-05,0.9802,0.9998373733267132,0.0081319949577497,7,True,0.98,0.9998373601008448
M1_N128_dephase_z_iid_p_p0.10000_twirl,1,128,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9987836892768048,0.0999999999999999,0.0012163107231945,0.8199999999999998,0.9975703373771612,0.0121631072319455,7,True,0.7999999999999999,0.9975673785536108
M1_N128_dephase_z_iid_p_p0.20000_twirl,1,128,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.995683320578495,0.1999999999999999,0.0043166794215048,0.6799999999999998,0.9914039085994462,0.0215833971075241,7,True,0.6,0.99136664115699
M1_N128_dephase_z_iid_p_p0.30000_twirl,1,128,dephase_z,iid_p,0.3,0.3,0.7,0.985462724951568,0.2999999999999998,0.0145372750484316,0.5800000000000001,0.971348114634804,0.0484575834947722,7,True,0.4000000000000001,0.9709254499031365
M1_N128_dephase_z_iid_p_p0.40000_twirl,1,128,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.9303785633654444,0.3999999999999998,0.0696214366345552,0.52,0.8704514156090081,0.1740535915863881,7,True,0.2,0.8607571267308893
M1_N128_dephase_z_iid_p_p0.50000_twirl,1,128,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999999,1.0,7,True,2.220446049250313e-16,1.6653345369377348e-15
M1_N128_dephase_z_iid_p_p0.60000_twirl,1,128,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.0696214366345552,0.5999999999999999,0.9303785633654446,0.52,0.8704514156090081,1.550630938942408,7,True,0.2,0.8607571267308893
M1_N128_dephase_z_iid_p_p0.70000_twirl,1,128,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0145372750484316,0.6999999999999998,0.9854627249515682,0.5800000000000002,0.971348114634804,1.4078038927879548,7,True,0.3999999999999999,0.9709254499031366
M1_N128_dephase_z_iid_p_p0.80000_twirl,1,128,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0043166794215049,0.7999999999999998,0.995683320578495,0.6799999999999998,0.9914039085994462,1.244604150723119,7,True,0.6,0.99136664115699
M1_N128_dephase_z_iid_p_p0.90000_twirl,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0012163107231945,0.8999999999999999,0.9987836892768052,0.8199999999999998,0.9975703373771612,1.109759654752006,7,True,0.7999999999999999,0.9975673785536108
M1_N256_dephase_z_iid_p_p0.01000_twirl,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.999959333412008,0.0099999999999998,4.0666587991844416e-05,0.9802,0.9999186701315588,0.0040666587991844,8,True,0.98,0.999918666824016
M1_N256_dephase_z_iid_p_p0.10000_twirl,1,256,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.999390364328012,0.0999999999999999,0.0006096356719877,0.8199999999999998,0.9987814719673294,0.0060963567198779,8,True,0.7999999999999999,0.9987807286560242
M1_N256_dephase_z_iid_p_p0.20000_twirl,1,256,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9978229865252288,0.1999999999999999,0.002177013474771,0.6799999999999998,0.9956554518257964,0.010885067373855,8,True,0.6,0.9956459730504578
M1_N256_dephase_z_iid_p_p0.30000_twirl,1,256,dephase_z,iid_p,0.3,0.3,0.7,0.9925185169961734,0.2999999999999998,0.0074814830038262,0.5800000000000001,0.9851489791682202,0.0249382766794209,8,True,0.4000000000000001,0.9850370339923472
M1_N256_dephase_z_iid_p_p0.40000_twirl,1,256,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.9601868402182642,0.3999999999999998,0.0398131597817354,0.52,0.9235438558201406,0.0995328994543387,8,True,0.2,0.9203736804365288
M1_N256_dephase_z_iid_p_p0.50000_twirl,1,256,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5,1.0,8,True,2.220446049250313e-16,2.164934898019056e-15
M1_N256_dephase_z_iid_p_p0.60000_twirl,1,256,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.0398131597817355,0.5999999999999999,0.9601868402182644,0.52,0.9235438558201406,1.6003114003637742,8,True,0.2,0.9203736804365288
M1_N256_dephase_z_iid_p_p0.70000_twirl,1,256,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0074814830038264,0.6999999999999998,0.9925185169961735,0.5800000000000002,0.9851489791682204,1.4178835957088196,8,True,0.3999999999999999,0.9850370339923472
M1_N256_dephase_z_iid_p_p0.80000_twirl,1,256,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.002177013474771,0.7999999999999998,0.9978229865252288,0.6799999999999998,0.9956554518257964,1.2472787331565365,8,True,0.6,0.9956459730504578
M1_N256_dephase_z_iid_p_p0.90000_twirl,1,256,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0006096356719879,0.8999999999999999,0.999390364328012,0.8199999999999998,0.9987814719673294,1.1104337381422356,8,True,0.7999999999999999,0.9987807286560242
M1_N512_dephase_z_iid_p_p0.01000_twirl,1,512,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9999796650521988,0.0099999999999998,2.0334947800848543e-05,0.9802,0.9999593309314184,0.0020334947800848,9,True,0.98,0.999959330104398
M1_N512_dephase_z_iid_p_p0.10000_twirl,1,512,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.9996948103951352,0.0999999999999999,0.0003051896048645,0.8199999999999998,0.9993898070716604,0.0030518960486458,9,True,0.7999999999999999,0.9993896207902706
M1_N512_dephase_z_iid_p_p0.20000_twirl,1,512,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.9989067487273696,0.1999999999999999,0.0010932512726303,0.6799999999999998,0.9978158878514296,0.0054662563631516,9,True,0.6,0.9978134974547392
M1_N512_dephase_z_iid_p_p0.30000_twirl,1,512,dephase_z,iid_p,0.3,0.3,0.7,0.9962030781211588,0.2999999999999998,0.0037969218788409,0.5800000000000001,0.992434989473826,0.0126564062628031,9,True,0.4000000000000001,0.992406156242318
M1_N512_dephase_z_iid_p_p0.40000_twirl,1,512,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.9784781369302906,0.3999999999999998,0.0215218630697091,0.52,0.957882655040564,0.0538046576742729,9,True,0.2,0.9569562738605816
M1_N512_dephase_z_iid_p_p0.50000_twirl,1,512,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999998,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.4999999999999998,1.0,9,True,2.220446049250313e-16,2.8310687127941488e-15
M1_N512_dephase_z_iid_p_p0.60000_twirl,1,512,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.0215218630697092,0.5999999999999999,0.9784781369302906,0.52,0.957882655040564,1.630796894883818,9,True,0.2,0.9569562738605816
M1_N512_dephase_z_iid_p_p0.70000_twirl,1,512,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0037969218788411,0.6999999999999998,0.9962030781211588,0.5800000000000002,0.9924349894738256,1.4231472544587984,9,True,0.3999999999999999,0.9924061562423176
M1_N512_dephase_z_iid_p_p0.80000_twirl,1,512,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0010932512726305,0.7999999999999998,0.9989067487273696,0.6799999999999998,0.9978158878514296,1.2486334359092122,9,True,0.6,0.9978134974547392
M1_N512_dephase_z_iid_p_p0.90000_twirl,1,512,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0003051896048647,0.8999999999999999,0.9996948103951352,0.8199999999999998,0.9993898070716604,1.1107720115501505,9,True,0.7999999999999999,0.9993896207902706
M1_N1024_dephase_z_iid_p_p0.01000_twirl,1,1024,dephase_z,iid_p,0.01,0.01,0.9899999999999998,0.9999898321125852,0.0099999999999998,1.0167887414647137e-05,0.9802,0.9999796644319424,0.0010167887414647,10,True,0.98,0.9999796642251704
M1_N1024_dephase_z_iid_p_p0.10000_twirl,1,1024,dephase_z,iid_p,0.1,0.1,0.8999999999999997,0.999847312042664,0.0999999999999999,0.0001526879573356,0.8199999999999998,0.9996946707125532,0.0015268795733564,10,True,0.7999999999999999,0.9996946240853284
M1_N1024_dephase_z_iid_p_p0.20000_twirl,1,1024,dephase_z,iid_p,0.2,0.2,0.7999999999999998,0.999452178512729,0.1999999999999999,0.0005478214872705,0.6799999999999998,0.9989049572422224,0.0027391074363525,10,True,0.6,0.9989043570254588
M1_N1024_dephase_z_iid_p_p0.30000_twirl,1,1024,dephase_z,iid_p,0.3,0.3,0.7,0.9980870951801534,0.2999999999999998,0.0019129048198462,0.5800000000000001,0.9961815087700068,0.0063763493994876,10,True,0.4000000000000001,0.9961741903603072
M1_N1024_dephase_z_iid_p_p0.40000_twirl,1,1024,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.9887710054516798,0.3999999999999998,0.0112289945483198,0.52,0.9777941915404924,0.0280724863707995,10,True,0.2,0.97754201090336
M1_N1024_dephase_z_iid_p_p0.50000_twirl,1,1024,dephase_z,iid_p,0.5,0.5,0.5,0.5,0.4999999999999999,0.4999999999999999,0.5000000000000002,0.5000000000000002,1.0,10,True,2.220446049250313e-16,3.83026943495679e-15
M1_N1024_dephase_z_iid_p_p0.60000_twirl,1,1024,dephase_z,iid_p,0.6,0.6,0.3999999999999999,0.0112289945483199,0.5999999999999999,0.98877100545168,0.52,0.9777941915404924,1.6479516757528003,10,True,0.2,0.97754201090336
M1_N1024_dephase_z_iid_p_p0.70000_twirl,1,1024,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.0019129048198463,0.6999999999999998,0.9980870951801536,0.5800000000000002,0.9961815087700066,1.4258387074002197,10,True,0.3999999999999999,0.9961741903603072
M1_N1024_dephase_z_iid_p_p0.80000_twirl,1,1024,dephase_z,iid_p,0.8,0.8,0.1999999999999999,0.0005478214872705,0.7999999999999998,0.9994521785127292,0.6799999999999998,0.9989049572422224,1.249315223140912,10,True,0.6,0.9989043570254588
M1_N1024_dephase_z_iid_p_p0.90000_twirl,1,1024,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0001526879573357,0.8999999999999999,0.999847312042664,0.8199999999999998,0.9996946707125532,1.1109414578251824,10,True,0.7999999999999999,0.9996946240853284
M2_N2_dephase_z_iid_p_p0.01000_twirl,2,2,dephase_z,iid_p,0.01,0.01,0.9899999999999995,0.9948995051004944,0.0099999999999997,0.0051004948995048,0.9802,0.9898510402974297,0.5100494899504978,1,True,,
M2_N2_dephase_z_iid_p_p0.10000_twirl,2,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9395604395604392,0.0999999999999998,0.0604395604395602,0.8199999999999996,0.8864267600531337,0.6043956043956034,1,True,,
M2_N2_dephase_z_iid_p_p0.20000_twirl,2,2,dephase_z,iid_p,0.2,0.2,0.7999999999999994,0.8571428571428567,0.1999999999999998,0.1428571428571426,0.6799999999999996,0.7551020408163265,0.714285714285714,1,True,,
M2_N2_dephase_z_iid_p_p0.30000_twirl,2,2,dephase_z,iid_p,0.3,0.3,0.6999999999999997,0.7531645569620251,0.2999999999999997,0.2468354430379744,0.5800000000000001,0.6281845858035573,0.822784810126582,1,True,,
M2_N2_dephase_z_iid_p_p0.40000_twirl,2,2,dephase_z,iid_p,0.4,0.4,0.5999999999999998,0.6315789473684208,0.3999999999999997,0.3684210526315787,0.52,0.5346260387811634,0.9210526315789472,1,True,,
M2_N2_dephase_z_iid_p_p0.50000_twirl,2,2,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.5000000000000004,0.5000000000000001,1.0,1,True,,
M2_N2_dephase_z_iid_p_p0.60000_twirl,2,2,dephase_z,iid_p,0.6,0.6,0.3999999999999998,0.3684210526315787,0.5999999999999998,0.6315789473684211,0.52,0.5346260387811634,1.052631578947369,1,True,,
